Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Coin,Scope,Date
Close_t-1,0.261732246637034,0.261732246637034,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
Close_t-2,0.2557327296597756,0.2557327296597756,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
Close_t-3,0.2419076418433264,0.2419076418433264,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
Close_t-4,0.2278533505997828,0.2278533505997828,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
Close_t-5,0.2167287271048365,0.2167287271048365,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
Close_t-6,0.2065737191711698,0.2065737191711698,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
Close_t-7,0.1951260812329779,0.1951260812329779,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
BTC_t-0,0.1849552509408119,0.1849552509408119,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
BTC_t-1,0.1809282005177541,0.1809282005177541,2022-02-13 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-13
Close_t-0,0.26454842314779,0.26454842314779,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
Close_t-1,0.2620593740656733,0.2620593740656733,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
Close_t-2,0.2549369257295876,0.2549369257295876,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
Close_t-3,0.2423895551330421,0.2423895551330421,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
Close_t-4,0.2285031433522626,0.2285031433522626,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
Close_t-5,0.2165847554004673,0.2165847554004673,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
Close_t-6,0.2073562922838649,0.2073562922838649,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
Close_t-7,0.1959233114298693,0.1959233114298693,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
BTC_t-0,0.1858811619459885,0.1858811619459885,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
BTC_t-1,0.1818251120023483,0.1818251120023483,2022-02-14 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-14
Close_t-0,0.2660385216586696,0.2660385216586696,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
Close_t-1,0.2643952301196479,0.2643952301196479,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
Close_t-2,0.2545593834650466,0.2545593834650466,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
Close_t-3,0.2424063030896168,0.2424063030896168,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
Close_t-4,0.2296895862692728,0.2296895862692728,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
Close_t-5,0.2156039524530357,0.2156039524530357,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
Close_t-6,0.2040934261113105,0.2040934261113105,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
Close_t-7,0.1983449632914731,0.1983449632914731,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
BTC_t-0,0.1854933077451298,0.1854933077451298,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
BTC_t-1,0.1803211993060863,0.1803211993060863,2022-02-15 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-15
Close_t-0,0.2661953616020407,0.2661953616020407,2022-02-16 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-16
