Date,Ticker,Gtrend
2015-10-06,BTC-USD,33
2015-10-07,BTC-USD,29
2015-10-08,BTC-USD,31
2015-10-09,BTC-USD,29
2015-10-10,BTC-USD,29
2015-10-11,BTC-USD,28
2015-10-12,BTC-USD,29
2015-10-13,BTC-USD,29
2015-10-14,BTC-USD,28
2015-10-15,BTC-USD,29
2015-10-16,BTC-USD,30
2015-10-17,BTC-USD,31
2015-10-18,BTC-USD,30
2015-10-19,BTC-USD,30
2015-10-20,BTC-USD,35
2015-10-21,BTC-USD,34
2015-10-22,BTC-USD,39
2015-10-23,BTC-USD,35
2015-10-24,BTC-USD,33
2015-10-25,BTC-USD,33
2015-10-26,BTC-USD,35
2015-10-27,BTC-USD,38
2015-10-28,BTC-USD,38
2015-10-29,BTC-USD,43
2015-10-30,BTC-USD,45
2015-10-31,BTC-USD,38
2015-11-01,BTC-USD,44
2015-11-02,BTC-USD,47
2015-11-03,BTC-USD,68
2015-11-04,BTC-USD,92
2015-11-05,BTC-USD,82
2015-11-06,BTC-USD,57
2015-11-07,BTC-USD,50
2015-11-08,BTC-USD,43
2015-11-09,BTC-USD,51
2015-11-10,BTC-USD,47
2015-11-11,BTC-USD,45
2015-11-12,BTC-USD,41
2015-11-13,BTC-USD,42
2015-11-14,BTC-USD,33
2015-11-15,BTC-USD,34
2015-11-16,BTC-USD,36
2015-11-17,BTC-USD,40
2015-11-18,BTC-USD,38
2015-11-19,BTC-USD,37
2015-11-20,BTC-USD,40
2015-11-21,BTC-USD,40
2015-11-22,BTC-USD,35
2015-11-23,BTC-USD,37
2015-11-24,BTC-USD,37
2015-11-25,BTC-USD,35
2015-11-26,BTC-USD,39
2015-11-27,BTC-USD,36
2015-11-28,BTC-USD,33
2015-11-29,BTC-USD,34
2015-11-30,BTC-USD,39
2015-12-01,BTC-USD,39
2015-12-02,BTC-USD,41
2015-12-03,BTC-USD,38
2015-12-04,BTC-USD,36
2015-12-05,BTC-USD,34
2015-12-06,BTC-USD,37
2015-12-07,BTC-USD,38
2015-12-08,BTC-USD,51
2015-12-09,BTC-USD,100
2015-12-10,BTC-USD,69
2015-12-11,BTC-USD,56
2015-12-12,BTC-USD,52
2015-12-13,BTC-USD,45
2015-12-14,BTC-USD,43
2015-12-15,BTC-USD,50
2015-12-16,BTC-USD,44
2015-12-17,BTC-USD,46
2015-12-18,BTC-USD,44
2015-12-19,BTC-USD,36
2015-12-20,BTC-USD,41
2015-12-21,BTC-USD,42
2015-12-22,BTC-USD,39
2015-12-23,BTC-USD,44
2015-12-24,BTC-USD,43
2015-12-25,BTC-USD,38
2015-12-26,BTC-USD,43
2015-12-27,BTC-USD,39
2015-12-28,BTC-USD,40
2015-12-29,BTC-USD,41
2015-12-30,BTC-USD,41
2015-12-31,BTC-USD,38
2016-01-01,BTC-USD,31
2016-01-02,BTC-USD,34
2016-01-03,BTC-USD,37
2016-01-04,BTC-USD,37
2016-01-05,BTC-USD,41
2016-01-06,BTC-USD,38
2016-01-07,BTC-USD,46
2016-01-08,BTC-USD,44
2016-01-09,BTC-USD,38
2016-01-10,BTC-USD,35
2016-01-11,BTC-USD,41
2016-01-12,BTC-USD,33
2016-01-13,BTC-USD,40
2016-01-14,BTC-USD,40
2016-01-15,BTC-USD,52
2016-01-16,BTC-USD,54
2016-01-17,BTC-USD,47
2016-01-18,BTC-USD,46
2016-01-19,BTC-USD,44
2016-01-20,BTC-USD,48
2016-01-21,BTC-USD,45
2016-01-22,BTC-USD,42
2016-01-23,BTC-USD,42
2016-01-24,BTC-USD,35
2016-01-25,BTC-USD,39
2016-01-26,BTC-USD,40
2016-01-27,BTC-USD,38
2016-01-28,BTC-USD,39
2016-01-29,BTC-USD,39
2016-01-30,BTC-USD,34
2016-01-31,BTC-USD,34
2016-01-31,BTC-USD,28
2016-02-01,BTC-USD,30
2016-02-02,BTC-USD,28
2016-02-03,BTC-USD,30
2016-02-04,BTC-USD,29
2016-02-05,BTC-USD,29
2016-02-06,BTC-USD,28
2016-02-07,BTC-USD,28
2016-02-08,BTC-USD,28
2016-02-09,BTC-USD,30
2016-02-10,BTC-USD,33
2016-02-11,BTC-USD,34
2016-02-12,BTC-USD,31
2016-02-13,BTC-USD,29
2016-02-14,BTC-USD,28
2016-02-15,BTC-USD,35
2016-02-16,BTC-USD,34
2016-02-17,BTC-USD,34
2016-02-18,BTC-USD,38
2016-02-19,BTC-USD,37
2016-02-20,BTC-USD,34
2016-02-21,BTC-USD,34
2016-02-22,BTC-USD,33
2016-02-23,BTC-USD,32
