Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Ticker,Scope,Date
Close_t-8,3.544798502402383,3.544798502402383,2021-07-09,Deep Learning LSTM,LTC,1 day ahead,2021-07-09
Close_t-9,2.915897775712098,2.915897775712098,2021-07-09,Deep Learning LSTM,LTC,1 day ahead,2021-07-09
Close_t-1,6.776673308469105,6.776673308469105,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-2,6.770813167303166,6.770813167303166,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-3,6.182902089395269,6.182902089395269,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-0,5.634507822021103,5.634507822021103,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-4,5.557635469502696,5.557635469502696,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-5,4.997773766144682,4.997773766144682,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-6,4.329258294294308,4.329258294294308,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-7,3.6437377721967654,3.6437377721967654,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-8,3.4347564318942703,3.4347564318942703,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-9,3.0056499404548855,3.0056499404548855,2021-07-10,Deep Learning LSTM,LTC,1 day ahead,2021-07-10
Close_t-1,6.85080367083016,6.85080367083016,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-2,6.6495908176820775,6.6495908176820775,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-3,6.278828947348227,6.278828947348227,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-4,5.654529403756244,5.654529403756244,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-0,5.600884487273089,5.600884487273089,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-5,4.734620422481481,4.734620422481481,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-6,4.283080856483639,4.283080856483639,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-7,3.6592416076611256,3.6592416076611256,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-8,3.222874015848481,3.222874015848481,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-9,2.9650506372410623,2.9650506372410623,2021-07-11,Deep Learning LSTM,LTC,1 day ahead,2021-07-11
Close_t-1,6.735217393705499,6.735217393705499,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-2,6.6760160382613165,6.6760160382613165,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-3,6.192982914679228,6.192982914679228,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-4,5.663660759056859,5.663660759056859,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-0,5.582182443444514,5.582182443444514,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-5,5.047728282344328,5.047728282344328,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-6,4.370358535089972,4.370358535089972,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-7,3.7163320032483225,3.7163320032483225,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-8,3.1470905249214343,3.1470905249214343,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-9,2.830583708366645,2.830583708366645,2021-07-12,Deep Learning LSTM,LTC,1 day ahead,2021-07-12
Close_t-2,6.734241282423642,6.734241282423642,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-1,6.6689253761526075,6.6689253761526075,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-3,6.307169139567563,6.307169139567563,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-0,5.713966388359965,5.713966388359965,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-4,5.640087092162438,5.640087092162438,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-5,4.74873977657509,4.74873977657509,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-6,4.2608501458444605,4.2608501458444605,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-7,3.7583763704913125,3.7583763704913125,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-8,3.3258604994340293,3.3258604994340293,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-9,2.900775530593417,2.900775530593417,2021-07-13,Deep Learning LSTM,LTC,1 day ahead,2021-07-13
Close_t-2,6.862042957198393,6.862042957198393,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-1,6.828008775507223,6.828008775507223,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-3,6.160825063188133,6.160825063188133,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-4,5.703691261097762,5.703691261097762,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-0,5.525184849583301,5.525184849583301,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-5,4.969299009631045,4.969299009631045,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-6,4.349990019401302,4.349990019401302,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-7,3.7529430121389957,3.7529430121389957,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-8,3.304710095337491,3.304710095337491,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-9,3.1149725048275716,3.1149725048275716,2021-07-14,Deep Learning LSTM,LTC,1 day ahead,2021-07-14
Close_t-1,6.75846383448749,6.75846383448749,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-2,6.673890077320546,6.673890077320546,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-3,6.138185345630142,6.138185345630142,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-4,5.592565646839883,5.592565646839883,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-0,5.546169671283596,5.546169671283596,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-5,4.818416458920043,4.818416458920043,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-6,4.180295021100587,4.180295021100587,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-7,3.872951616680652,3.872951616680652,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-8,3.3494406212602077,3.3494406212602077,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-9,2.875155342178937,2.875155342178937,2021-07-15,Deep Learning LSTM,LTC,1 day ahead,2021-07-15
Close_t-2,6.8836129839353015,6.8836129839353015,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-1,6.879988382176236,6.879988382176236,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-3,6.269414131147602,6.269414131147602,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-0,5.7803055155311664,5.7803055155311664,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-4,5.590018057634851,5.590018057634851,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-5,4.830168144533117,4.830168144533117,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-6,4.362678271471935,4.362678271471935,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-7,3.7085305430770883,3.7085305430770883,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-8,3.1318883627517367,3.1318883627517367,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-9,2.9977281383393852,2.9977281383393852,2021-07-16,Deep Learning LSTM,LTC,1 day ahead,2021-07-16
Close_t-1,6.663291272936344,6.663291272936344,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-2,6.638279843494406,6.638279843494406,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-3,6.263160947341836,6.263160947341836,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-4,5.647698346844032,5.647698346844032,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
Close_t-0,5.568472543086988,5.568472543086988,2021-07-17,Deep Learning LSTM,LTC,1 day ahead,2021-07-17
